maceta	clon	tratamiento	valor	fecha	hora	pesoi	pesof	sum.riego
4	gt	c	NA	10/12/2019	8:50	18.534	19.03	0
4	gt	c	NA	11/12/2019	8:50	18.423	19.029	0
4	gt	c	NA	12/12/2019	NA	18.455	19.03	0
4	gt	c	NA	13/12/2019	8:00	18.534	18.534	0.5
4	gt	c	i	14/12/2019	NA	18.712	18.712	0.5
4	gt	c	i	15/12/2019	NA	18.890	18.890	0.5
4	gt	c	NA	16/12/2019	8:20	19.069	19.069	0.5
4	gt	c	NA	17/12/2019	8:00	19.34	19.34	0
4	gt	c	NA	18/12/2019	8:00	18.917	19.031	0.5
4	gt	c	i	19/12/2019	8:00	19.048	19.048	0.5
4	gt	c	i	20/12/2019	8:00	19.065	19.065	0.5
4	gt	c	i	21/12/2019	NA	19.082	19.082	0.5
4	gt	c	i	22/12/2019	NA	19.099	19.099	0.5
4	gt	c	NA	23/12/2019	7:00	19.101	19.101	0.5
4	gt	c	NA	24/12/2019	9:00	18.54	19.033	0
4	gt	c	NA	26/12/2019	9:00	18.787	19.035	0
4	gt	c	NA	28/12/2019	9:00	19.056	19.056	0
4	gt	c	i	29/12/2019	NA	18.925	18.925	0.5
4	gt	c	NA	30/12/2019	10:00	18.794	19.03	0
4	gt	c	NA	31/12/2019	9:00	19.181	19.181	0
4	gt	c	i	1/1/2020	NA	18.462	18.462	0.5
4	gt	c	NA	2/1/2020	8:00	17.743	18.549	0.5
4	gt	c	i	3/1/2020	NA	19.31	19.31	0.5
4	gt	c	NA	4/1/2020	9:00	19.571	19.571	0
4	gt	c	i	5/1/2020	NA	18.924	18.924	0
4	gt	c	NA	6/1/2020	7:00	18.277	18.526	0.5
4	gt	c	i	7/1/2020	NA	18.386	18.386	0.5
4	gt	c	NA	8/1/2020	8:15	18.247	18.504	0.5
4	gt	c	i	9/1/2020	NA	18.43	18.43	0.5
4	gt	c	NA	10/1/2020	8:00	18.357	18.524	0.5
4	gt	c	i	11/1/2020	NA	18.117	18.117	0.5
4	gt	c	NA	12/1/2020	9:00	18.711	19.028	0
4	gt	c	i	13/1/2020	NA	18.399	18.399	0.5
4	gt	c	NA	14/1/2020	10:00	18.27	19.036	0
4	gt	c	i	15/1/2020	NA	18.823	18.823	0.5
4	gt	c	NA	16/1/2020	8:20	19.11	19.11	0
4	gt	c	i	17/1/2020	NA	18.6055	18.6055	0
4	gt	c	NA	18/1/2020	7:20	18.101	18.529	0.5
4	gt	c	i	19/1/2020	NA	18.544	18.544	0.5
4	gt	c	NA	20/1/2020	7:45	18.56	18.56	0.5
4	gt	c	i	21/1/2020	NA	18.413	18.413	0.5
4	gt	c	NA	22/1/2020	8:00	18.267	18.523	0.5
4	gt	c	i	23/1/2020	NA	18.349	18.349	0.5
4	gt	c	NA	24/1/2020	7:40	18.175	18.529	0.5
4	gt	c	i	25/1/2020	NA	18.296	18.296	0.5
4	gt	c	NA	26/1/2020	8:00	18.063	18.543	0.5
4	gt	c	i	27/1/2020	NA	18.381	18.381	0.5
4	gt	c	NA	28/1/2020	8:00	18.22	18.536	0.5
4	gt	c	i	29/1/2020	NA	18.484	18.484	0.5
4	gt	c	NA	30/1/2020	8:00	18.433	18.536	0.5
4	gt	c	i	31/1/2020	NA	18.438	18.438	0.5
